epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,313.924,0.32592,0.39795,0.27865,0.83149,0,0.96305,0.9469,0.96285,0.8964,0.9631,0.94945,0.9668,0.82768,0.21943,0.29973,0.20086,0.68876,0,0.0009308,0.0009308,0.0009308
29,324.88,0.31397,0.37204,0.2783,0.81993,0,0.95933,0.94945,0.96235,0.91,0.9633,0.95385,0.97114,0.85604,0.20717,0.31389,0.19564,0.68625,0,0.0008912,0.0008912,0.0008912
30,336.362,0.31289,0.35822,0.27266,0.81469,0,0.95779,0.94787,0.96403,0.90953,0.95863,0.95168,0.96738,0.82421,0.22938,0.31353,0.19417,0.6894,0,0.0008516,0.0008516,0.0008516
31,347.156,0.28404,0.34144,0.24528,0.82169,0,0.97212,0.93656,0.96671,0.91465,0.9666,0.94787,0.97341,0.85744,0.23253,0.29694,0.19296,0.69152,0,0.000812,0.000812,0.000812
32,358.327,0.3005,0.34459,0.25427,0.82366,0,0.96872,0.93839,0.96481,0.91402,0.9724,0.94635,0.97881,0.84987,0.21295,0.27942,0.18746,0.68821,0,0.0007724,0.0007724,0.0007724
33,369.617,0.29475,0.34518,0.25125,0.82164,0,0.95697,0.94851,0.96713,0.92064,0.96175,0.95325,0.97707,0.85304,0.21764,0.27336,0.18025,0.68745,0,0.0007328,0.0007328,0.0007328
34,380.891,0.27671,0.34658,0.24228,0.81598,0,0.96134,0.94284,0.96464,0.91751,0.9611,0.94155,0.97245,0.83971,0.18288,0.28951,0.15963,0.68334,0,0.0006932,0.0006932,0.0006932
35,392.253,0.27537,0.34393,0.24303,0.82092,0,0.97539,0.93908,0.96497,0.9153,0.97542,0.94032,0.97352,0.84062,0.1877,0.31166,0.16275,0.68573,0,0.0006536,0.0006536,0.0006536
36,403.678,0.27034,0.34972,0.23853,0.81415,0,0.96242,0.94471,0.96595,0.91887,0.96135,0.94304,0.9739,0.8475,0.18559,0.29613,0.15855,0.68388,0,0.000614,0.000614,0.000614
37,415.683,0.27127,0.33117,0.24432,0.81512,0,0.96128,0.94787,0.96512,0.91792,0.96729,0.93207,0.97218,0.84374,0.18264,0.29649,0.16246,0.68381,0,0.0005744,0.0005744,0.0005744
38,426.992,0.26847,0.33202,0.23453,0.82603,0,0.97259,0.94313,0.97015,0.92958,0.97445,0.94471,0.9781,0.87137,0.18021,0.31379,0.15398,0.68319,0,0.0005348,0.0005348,0.0005348
39,438.316,0.27142,0.33833,0.22636,0.82117,0,0.9769,0.93997,0.96923,0.92824,0.96594,0.95577,0.98132,0.85704,0.16747,0.32462,0.14985,0.68216,0,0.0004952,0.0004952,0.0004952
40,449.904,0.26402,0.36002,0.22558,0.8189,0,0.97623,0.94629,0.96677,0.91994,0.97262,0.93997,0.97202,0.84775,0.18405,0.27713,0.15985,0.68443,0,0.0004556,0.0004556,0.0004556
41,502.828,0.23131,0.30538,0.20936,0.76707,0,0.95928,0.94787,0.96478,0.9174,0.95809,0.94629,0.97004,0.85565,0.17685,0.2913,0.1541,0.68236,0,0.000416,0.000416,0.000416
42,513.999,0.22327,0.29422,0.20784,0.76269,0,0.9646,0.94692,0.96559,0.91907,0.9646,0.94692,0.97363,0.86858,0.17508,0.28527,0.14934,0.68173,0,0.0003764,0.0003764,0.0003764
43,525.02,0.22682,0.31107,0.20174,0.78211,0,0.96298,0.94528,0.96656,0.92683,0.95907,0.95735,0.97547,0.85636,0.16294,0.2628,0.14534,0.68166,0,0.0003368,0.0003368,0.0003368
44,535.937,0.22349,0.30965,0.19844,0.76174,0,0.97397,0.94588,0.9675,0.92696,0.97397,0.94588,0.97508,0.85537,0.16567,0.26238,0.14024,0.68287,0,0.0002972,0.0002972,0.0002972
45,547.317,0.21952,0.32045,0.19147,0.76673,0,0.97402,0.94771,0.96688,0.91993,0.9724,0.94613,0.97015,0.8416,0.17373,0.27306,0.14743,0.68318,0,0.0002576,0.0002576,0.0002576
46,559.138,0.21628,0.28351,0.18809,0.76866,0,0.97328,0.94629,0.97136,0.9313,0.97078,0.94478,0.97422,0.86439,0.16043,0.26855,0.13998,0.68078,0,0.000218,0.000218,0.000218
47,570.516,0.20823,0.31667,0.1858,0.76947,0,0.96921,0.94498,0.97125,0.93372,0.97205,0.95103,0.97848,0.87134,0.16128,0.25913,0.13727,0.68054,0,0.0001784,0.0001784,0.0001784
48,582.739,0.19542,0.27404,0.17644,0.76996,0,0.97072,0.94259,0.97101,0.93526,0.97397,0.94575,0.97922,0.87111,0.15042,0.2612,0.13882,0.68009,0,0.0001388,0.0001388,0.0001388
49,593.801,0.19841,0.31381,0.17385,0.76988,0,0.97895,0.94313,0.9711,0.93452,0.97895,0.94313,0.97792,0.86139,0.15214,0.2641,0.13339,0.68014,0,9.92e-05,9.92e-05,9.92e-05
50,605.073,0.19103,0.27353,0.17199,0.75992,0,0.97706,0.94191,0.97128,0.93526,0.9787,0.94349,0.97933,0.86593,0.14517,0.27019,0.13139,0.67986,0,5.96e-05,5.96e-05,5.96e-05
